Real name (if known)|Website|tag|status|description
Kevin Deldycke|http://kevin.deldycke.com/|author_kevin-deldycke|zp_contributor|
Kevin Skidmore |http://www.monkeypen.com|author_kevinsk|zp_contributor|
Kieran O'Shea ||author_kieran|zp_contributor|
Kevin Rainbolt||author_krainbolt|zp_team-member-former/zp_developer|
Bastien||author_la0c00n|zp_team-member-former|"Student in Computer Science at the ENIB (www.enib.fr), Founder of Lookiad, a ""junior company"" working on web development and design. Original developer of ZenVideo, the first Zenphoto video tool support"
Laurent Martineau|http://www.latitudes-photos.com/|author_laurent|zp_contributor|
|http://blog.lekevin.com/|author_le-kevin|zp_contributor|
|http://www.thedigeratipeninsula.org.uk/|author_lee|zp_contributor|
Samuel Goldstein||author_libelle|zp_contributor|
||author_lilpeck|zp_contributor|
Nick Jacobson|http://www.lokiphoto.com/|author_lokkju|zp_contributor|
Todd Papaioannou|http://www.luckyspin.org|author_luckyspin|zp_team-member-former/zp_developer|
Jeremy Coleman|http://www.jeremydcoleman.com/|author_mammlouk|zp_contributor|
Dustin L. Brewer|http://www.thenullpointer.net|author_mannkind|zp_team_member-former|Programmer, System Administrator, Web Developer, Usability Advisor, University of Washington. Geospatial Patch for ZenPhoto (Trac#78). 
Marcel Spijker|http://www.marcelspijker.nl/marcel|author_marcel-spijker|zp_contributor|
Martin Svendsen|http://svendsen-net.dk|author_martin-svendsen|zp_contributor/zp_danish-translator|
Matt Martz|                   |author_matt_martz|zp_contributor|
Max Plante|http://www.digitalindustries.ca/|author_max-plante|zp_contributor|
||author_maxslug|zp_contributor|
||author_mem0-com|zp_contributor|
Michal Rusina|http://michalrusina.sk/galeria/|author_michal-rusina|zp_contributor|
Micheal Luttrull |http://inthemdl.net/|author_micheall|zp_contributor|
basri|http://basri.my/|author_mightyhitter|zp_contributor|
Michael Kay|http://www.peep.org|author_mikeque|zp_team_member/zp_spanish-translator|User experience/user interface, Buenos Aires, Argentina
Daniel Milligan|http://www.milliganphotography.com/|author_milligan|zp_contributor|
Jakub B||author_mironb|zp_contributor/zp_polish-translator|
|http://elbedesign.com/|author_misterbrandt|zp_contributor|
|http://www.deltawebdev.co.uk/|author_mr-sheep|zp_contributor|
Martin Sturm|http://www.wolkje.ne|author_msturm10|zp_team-member-former|Software developer (Java, PHP, Ruby)
|http://n00bism.net/|author_n00bism|zp_contributor|
Nic Walsh||author_nic-walsh|zp_contributor/zp_swedish-translator|
Nikolay Tonev |http://nikolaytonev.com/|author_nikolay-tonev|zp_contributor|
Nick Chapman|http://nick.chapmanit.com/|author_nicx|zp_contributor|
Nils K. Windisch|http://nilswindisch.de|author_nils-k-windisch|zp_contributor|
Ebrahim Ezzy|http://qelix.com/blog/2008/04/07/paypal-integraion-for-zenphoto-zenpaypal/|author_nimbuz|zp_contributor|
Joen Asmussen|http://noscope.com/|author_noscope|zp_team-member-former/zp_contributor|Joen created the very first Zenphoto theme, the still in use default theme, for Zenphoto 1.0 He also was co-author with Tristan Harward of the first backend layout whose base of using tabs is also still in use.
Joseph Matz ||author_omatzyo|zp_contributor|
|http://planetozh.com|author_ozh|zp_contributor|
Patrick Bregman|http://patrickbregman.eu/|author_patrickbregman|zp_contributor|
||author_phase2|zp_contributor|
|http://www.photogabble.co.uk/|author_photogabble|zp_contributor|
Pim Rijpsma||author_pim-rijpsma|zp_contributor|
Pasi Pihlajamäki||author_pischla|zp_contributor/zp_swedish-translator|
|http://raginggoblin.wordpress.com/|author_raging-goblin|zp_contributor|
Niels Leenheer|http://rakaz.nl|author_rakaz|zp_team-member-former|
Raphael Huck||author_raphael-huck|zp_team-member-former|
Richard Castellanos||author_richard-castellanos|zp_contributor|
Richard Laskey|http://rlaskey.org/|author_richard-laskey|zp_contributor|
Rui Cruz|http://www.ruicruz.com|author_rui-cruz|zp_contributor|
|http://henku.info/|author_sagasw|zp_contributor|
Stephen Billard |http://www.sbillard.org|author_sbillard|zp_team_member/zp_chief-developer|Retired. Graduate from Yale in 1966. 35 years in software development in all sorts of roles, including Director of Operating Systems development at the Unisys (nee Burroughs) facility in Mission Viejo, CA. and former primary implementer of the Burroughs Master Control Program for the Burroughs mainframe computers. Author and publisher of a number of Shareware, Freeware, and commercial software packages including: Printographer for the Apple II and the GUI front end for QuadToneRIP, a B&W printing RIP
|http://www.thestottfamily.co.uk/|author_seroxatmad|zp_contributor|
Alessandro Morandi|http://www.simbul.net/|author_simbul|zp_contributor|
Benjamin||author_skwid|zp_contributor|"B.Sc. in Biology; Co-developer of the ""thinkdreams"" theme with Craig. Implemented slideshow, fotobuzz"
Soumen Bhattacharya |http://ubercyber.net/|author_soumenb|zp_contributor|
Stephane Angoulvant |http://sblog.angoulvant.net/|author_stephane-angoulvant|zp_contributor|
Jakub Meisner|http://jlfoto.sk|author_tangorn|zp_contributor/zp_slowak-translator|
Jeppe Fihl Toustrup |http://tenzer.dk/|author_tenzer|zp_contributor|
|http://www.thewholelifetolearn.eu|author_the-whole-life-to-learn|zp_contributor|
Craig|http://www.bushwoodworking.com|author_thinkdreams|zp_team-member-former/zp_developer|Network Administrator, Exactech, Inc. (http://www.exac.com)
Tim O'Brien|http://t413.com|author_timo|zp_contributor|
Antoine Gancel|http://www.titou.bizn/|author_titou|zp_contributor|
Tristan Harward|http://trisweb.com|author_trisweb|zp_contributor|"BA/CompSci from UC Berkeley, Lead programmer, Silvertip Labs Inc. Founder and lead developer of Zenphoto for 3 years. Designed the core software, the ""Testing"" theme, the ""Tricasa"" theme with Javascript preloading, and more."
Anton Puttemans||author_tunafish|zp_team-member|
||author_ulfben|zp_contributor|
|http://actress.bollysite.com/|author_vikaskbh|zp_contributor|
Vincent Osinga||author_vincent|zp_contributor/zp_dutch-translator|
Vincent Bourganel |http://www.vincentbourganel.fr/|author_vincent3569|zp_contributor|
|http://www.wtjr.org|author_vistronic|zp_contributor|Broadcast Engineer
||author_wildstray|zp_contributor|
|http://www.railgeelong.com/gallery/|author_willhamilton|zp_contributor|
Marcus Wong||author_wongm|zp_contributor|
||author_blue-dragonfly|zp_contributor|
||author_alenonimo|zp_contributor|
||author_subjunk|zp_contributor|
||author_pheno7|zp_contributor|
||author_petersendidit|zp_contributor|
||author_chris-s|zp_contributor|
||author_lev-buzolic|zp_contributor|
||author_babar|zp_contributor|
Carl Chan|https://github.com/carlchan|author_carl-chan|zp_contributor|
||author_spelth|zp_contributor|
Mike Adolphs|http://fooforge.com/|author_fooforge|zp_contributor|
